cmd,p1,p2,p3
Set,size,50,
Spawn,spike,10,
Spawn,coin,5,
Spawn,coin,6,
Spawn,coin,7,
Spawn,coin,8,2
Spawn,coin,9,2
Spawn,coin,10,2
Spawn,coin,11,
Spawn,coin,12,
Spawn,coin,13,
Spawn,coin,14,
Spawn,spike,15,
Spawn,coin,16,
Spawn,coin,17,
Spawn,coin,18,
Spawn,coin,19,
Spawn,coin,20,2
Spawn,spike,20,
Spawn,coin,21,2
Spawn,coin,22,1.5
Spawn,coin,23,
Spawn,coin,24,
Spawn,coin,25,
Spawn,spike,28,
Spawn,coin,30,
Spawn,coin,31,
Spawn,coin,32,
Spawn,coin,33,2
Spawn,spike,33,
Spawn,coin,34,2
Spawn,coin,35,2
Spawn,coin,36,1.5
Spawn,coin,37,
Spawn,coin,38,
Spawn,coin,41,2
Spawn,coin,42,1.5
Spawn,coin,43,1.5
Spawn,coin,44,
Spawn,coin,45,
Spawn,spike,46,
Spawn,coin,47,2
Spawn,coin,48,
Spawn,coin,49,
