cmd,p1,p2,p3
Set,size,100,
Spawn,coin,5,
Spawn,coin,6,
Spawn,coin,7,
Spawn,coin,8,
Spawn,coin,9,
Spawn,coin,10,
Spawn,coin,11,
Spawn,coin,12,
Spawn,coin,13,
Spawn,coin,14,
Spawn,coin,15,
Spawn,coin,16,
Spawn,coin,17,
Spawn,coin,18,
Spawn,coin,19,
Spawn,coin,20,
Spawn,coin,21,
Spawn,coin,22,
Spawn,coin,23,
Spawn,coin,24,
Spawn,coin,25,
Spawn,coin,26,
Spawn,coin,27,
Spawn,coin,28,
Spawn,coin,29,
Spawn,coin,30,
Spawn,coin,31,
Spawn,coin,32,
Spawn,coin,33,
Spawn,coin,34,
Spawn,coin,35,
Spawn,coin,36,
Spawn,coin,37,
Spawn,coin,38,
Spawn,coin,39,
Spawn,coin,40,
Spawn,coin,41,
Spawn,coin,42,
Spawn,coin,43,
Spawn,coin,44,
Spawn,coin,45,
Spawn,coin,46,
Spawn,coin,47,
Spawn,coin,48,
Spawn,coin,49,
Spawn,coin,50,
